depth,lr,rmse,iters
4,0.05,11.648857984110904,299
4,0.1,10.724149272763398,299
4,0.2,10.1888722624713,297
6,0.05,10.238296898833902,299
6,0.1,9.770470672796105,299
6,0.2,9.576719793943997,299
8,0.05,9.402201747733248,299
8,0.1,9.25696157415862,299
8,0.2,9.294169364041117,296
